Flight_ID,Flight_Number,Origin_Airport,Destination_Airport,Aircraft_ID,Scheduled_Departure,Actual_Departure,Scheduled_Arrival,Actual_Arrival,Flight_Status,Distance_KM,Delay_Minutes
FL-002376,SV-350,JFK,CDG,AC-048,2024-11-18 20:50:00,,2024-11-19 05:32:00,,Cancelled,6265,0
FL-002377,SV-981,LHR,JED,AC-033,2024-10-22 03:41:00,2024-10-22 03:41:00,2024-10-22 08:14:00,2024-10-22 08:14:00,On-Time,3287,0
FL-002378,SV-433,LHR,IST,AC-038,2024-11-06 15:06:00,2024-11-06 15:06:00,2024-11-06 17:17:00,2024-11-06 17:07:00,On-Time,1583,0
FL-002379,SV-741,JED,DXB,AC-018,2024-05-08 15:23:00,2024-05-08 18:13:00,2024-05-08 16:32:00,2024-05-08 19:22:00,Delayed,832,170
FL-002380,SV-610,DMM,CDG,AC-029,2024-07-23 13:13:00,2024-07-23 13:21:00,2024-07-23 15:11:00,2024-07-23 15:19:00,On-Time,1417,8
FL-002381,SV-392,DMM,LHR,AC-042,2025-06-12 19:00:00,2025-06-12 19:06:00,2025-06-12 23:32:00,2025-06-12 23:38:00,On-Time,3272,6
FL-002382,SV-119,JFK,DXB,AC-044,2024-11-08 10:26:00,2024-11-08 10:26:00,2024-11-08 12:37:00,2024-11-08 12:31:00,On-Time,1576,0
FL-002383,SV-381,JED,IST,AC-002,2024-05-27 07:01:00,2024-05-27 07:21:00,2024-05-27 11:45:00,2024-05-27 12:05:00,Delayed,3412,20
FL-002384,SV-896,RUH,IST,AC-039,2024-09-28 22:16:00,2024-09-28 22:16:00,2024-09-29 07:33:00,2024-09-29 07:33:00,On-Time,6687,0
FL-002385,SV-100,JFK,DMM,AC-044,2024-08-17 06:23:00,2024-08-17 06:34:00,2024-08-17 08:04:00,2024-08-17 08:15:00,On-Time,1218,11
FL-002386,SV-218,DMM,JFK,AC-026,2025-03-04 05:07:00,2025-03-04 05:07:00,2025-03-04 06:29:00,2025-03-04 06:26:00,On-Time,987,0
FL-002387,SV-134,JFK,JED,AC-047,2024-11-28 18:45:00,2024-11-28 18:56:00,2024-11-28 23:46:00,2024-11-28 23:57:00,On-Time,3622,11
FL-002388,SV-297,IST,RUH,AC-003,2025-10-09 18:26:00,2025-10-09 18:39:00,2025-10-10 01:47:00,2025-10-10 02:00:00,On-Time,5303,13
FL-002389,SV-584,CDG,DXB,AC-018,2024-10-23 06:02:00,2024-10-23 06:39:00,2024-10-23 08:46:00,2024-10-23 09:23:00,Delayed,1976,37
FL-002390,SV-856,JFK,CDG,AC-009,2025-07-23 04:28:00,2025-07-23 04:28:00,2025-07-23 05:25:00,2025-07-23 05:17:00,On-Time,694,0
FL-002391,SV-158,JFK,LHR,AC-039,2024-06-21 23:59:00,2024-06-22 00:06:00,2024-06-22 08:37:00,2024-06-22 08:44:00,On-Time,6222,7
FL-002392,SV-936,JFK,CDG,AC-019,2025-01-20 17:38:00,2025-01-20 17:38:00,2025-01-21 01:26:00,2025-01-21 01:23:00,On-Time,5623,0
FL-002393,SV-260,DMM,JED,AC-031,2025-04-04 07:23:00,2025-04-04 07:37:00,2025-04-04 11:37:00,2025-04-04 11:51:00,On-Time,3054,14
FL-002394,SV-790,JED,LHR,AC-033,2024-12-03 01:03:00,,2024-12-03 03:30:00,,Cancelled,1765,0
FL-002395,SV-305,JED,IST,AC-007,2025-11-27 21:31:00,2025-11-27 21:31:00,2025-11-28 06:04:00,2025-11-28 06:03:00,On-Time,6159,0
FL-002396,SV-111,LHR,CDG,AC-001,2025-07-16 02:30:00,2025-07-16 02:30:00,2025-07-16 10:54:00,2025-07-16 10:48:00,On-Time,6057,0
FL-002397,SV-589,DXB,IST,AC-026,2025-09-14 08:56:00,,2025-09-14 12:39:00,,Cancelled,2676,0
FL-002398,SV-375,LHR,DXB,AC-028,2025-07-10 01:48:00,2025-07-10 01:53:00,2025-07-10 06:28:00,2025-07-10 06:33:00,On-Time,3371,5
FL-002399,SV-792,RUH,DMM,AC-048,2025-01-25 10:08:00,2025-01-25 10:20:00,2025-01-25 11:05:00,2025-01-25 11:17:00,On-Time,690,12
FL-002400,SV-341,IST,JFK,AC-011,2025-11-09 18:10:00,2025-11-09 18:21:00,2025-11-09 21:09:00,2025-11-09 21:20:00,On-Time,2155,11
FL-002401,SV-315,JED,DXB,AC-023,2025-01-13 02:23:00,2025-01-13 02:43:00,2025-01-13 09:23:00,2025-01-13 09:43:00,Delayed,5049,20
FL-002402,SV-350,JFK,LHR,AC-004,2025-12-11 18:55:00,2025-12-11 19:31:00,2025-12-11 21:08:00,2025-12-11 21:44:00,Delayed,1603,36
FL-002403,SV-910,CDG,RUH,AC-033,2024-03-15 09:58:00,2024-03-15 10:04:00,2024-03-15 17:17:00,2024-03-15 17:23:00,On-Time,5270,6
FL-002404,SV-225,CDG,DXB,AC-003,2025-02-02 05:42:00,2025-02-02 05:52:00,2025-02-02 11:47:00,2025-02-02 11:57:00,On-Time,4390,10
FL-002405,SV-316,IST,JFK,AC-031,2025-06-11 03:53:00,2025-06-11 03:53:00,2025-06-11 10:49:00,2025-06-11 10:49:00,On-Time,5002,0
FL-002406,SV-405,IST,JED,AC-036,2024-09-20 04:22:00,2024-09-20 04:22:00,2024-09-20 09:38:00,2024-09-20 09:37:00,On-Time,3798,0
FL-002407,SV-896,DXB,DMM,AC-015,2024-04-02 19:04:00,2024-04-02 19:49:00,2024-04-02 22:24:00,2024-04-02 23:09:00,Delayed,2407,45
FL-002408,SV-284,CDG,LHR,AC-047,2025-09-13 07:45:00,2025-09-13 07:45:00,2025-09-13 10:55:00,2025-09-13 10:53:00,On-Time,2283,0
FL-002409,SV-138,LHR,CDG,AC-011,2024-07-02 10:14:00,2024-07-02 10:32:00,2024-07-02 13:14:00,2024-07-02 13:32:00,Delayed,2162,18
FL-002410,SV-322,JFK,LHR,AC-021,2025-02-26 14:44:00,2025-02-26 14:44:00,2025-02-26 17:50:00,2025-02-26 17:41:00,On-Time,2235,0
FL-002411,SV-283,IST,RUH,AC-027,2024-05-07 14:23:00,2024-05-07 14:56:00,2024-05-07 17:57:00,2024-05-07 18:30:00,Delayed,2579,33
FL-002412,SV-594,RUH,LHR,AC-021,2025-03-17 13:26:00,2025-03-17 13:33:00,2025-03-17 16:24:00,2025-03-17 16:31:00,On-Time,2141,7
FL-002413,SV-526,CDG,LHR,AC-008,2025-04-16 13:20:00,2025-04-16 13:20:00,2025-04-16 23:03:00,2025-04-16 22:54:00,On-Time,6996,0
FL-002414,SV-277,CDG,LHR,AC-050,2024-08-31 17:31:00,2024-08-31 17:39:00,2024-08-31 18:49:00,2024-08-31 18:57:00,On-Time,940,8
FL-002415,SV-527,JED,IST,AC-039,2025-09-08 12:38:00,2025-09-08 14:11:00,2025-09-08 16:14:00,2025-09-08 17:47:00,Delayed,2592,93
FL-002416,SV-393,DMM,IST,AC-019,2024-06-02 06:31:00,2024-06-02 06:50:00,2024-06-02 12:41:00,2024-06-02 13:00:00,Delayed,4449,19
FL-002417,SV-951,CDG,JED,AC-025,2025-08-14 15:50:00,2025-08-14 15:59:00,2025-08-14 21:53:00,2025-08-14 22:02:00,On-Time,4364,9
FL-002418,SV-250,RUH,JFK,AC-017,2024-05-28 05:13:00,2024-05-28 05:13:00,2024-05-28 14:26:00,2024-05-28 14:20:00,On-Time,6645,0
FL-002419,SV-483,DMM,JFK,AC-042,2024-06-01 02:40:00,2024-06-01 02:45:00,2024-06-01 04:52:00,2024-06-01 04:57:00,On-Time,1588,5
FL-002420,SV-737,IST,DMM,AC-017,2024-07-12 00:58:00,2024-07-12 00:58:00,2024-07-12 01:51:00,2024-07-12 01:50:00,On-Time,640,0
FL-002421,SV-912,JED,DMM,AC-024,2024-09-12 14:30:00,2024-09-12 18:12:00,2024-09-12 15:34:00,2024-09-12 19:16:00,Delayed,769,222
FL-002422,SV-407,DMM,LHR,AC-042,2025-04-27 04:12:00,2025-04-27 04:20:00,2025-04-27 10:48:00,2025-04-27 10:56:00,On-Time,4761,8
FL-002423,SV-435,IST,DMM,AC-003,2025-08-10 17:59:00,2025-08-10 18:11:00,2025-08-10 20:52:00,2025-08-10 21:04:00,On-Time,2078,12
FL-002424,SV-845,JED,JFK,AC-007,2025-07-07 18:40:00,2025-07-07 18:40:00,2025-07-08 02:11:00,2025-07-08 02:03:00,On-Time,5416,0
FL-002425,SV-991,JFK,LHR,AC-037,2024-04-01 01:38:00,2024-04-01 01:38:00,2024-04-01 10:25:00,2024-04-01 10:22:00,On-Time,6324,0
FL-002426,SV-474,RUH,LHR,AC-045,2024-01-09 22:54:00,2024-01-09 23:51:00,2024-01-10 05:00:00,2024-01-10 05:57:00,Delayed,4397,57
FL-002427,SV-107,CDG,DXB,AC-033,2025-04-08 00:07:00,2025-04-08 00:09:00,2025-04-08 02:53:00,2025-04-08 02:55:00,On-Time,1995,2
FL-002428,SV-440,JFK,RUH,AC-049,2024-03-16 02:44:00,2024-03-16 03:06:00,2024-03-16 05:37:00,2024-03-16 05:59:00,Delayed,2079,22
FL-002429,SV-228,JED,IST,AC-002,2024-01-24 21:37:00,2024-01-24 22:52:00,2024-01-25 05:24:00,2024-01-25 06:39:00,Delayed,5604,75
FL-002430,SV-875,JED,DXB,AC-029,2025-02-07 07:24:00,2025-02-07 09:46:00,2025-02-07 12:32:00,2025-02-07 14:54:00,Delayed,3697,142
FL-002431,SV-768,JFK,JED,AC-006,2025-03-05 02:26:00,2025-03-05 02:39:00,2025-03-05 10:30:00,2025-03-05 10:43:00,On-Time,5817,13
FL-002432,SV-451,DXB,JFK,AC-041,2025-02-20 05:51:00,2025-02-20 05:51:00,2025-02-20 14:11:00,2025-02-20 14:01:00,On-Time,6002,0
FL-002433,SV-457,JFK,JED,AC-008,2024-02-09 14:59:00,,2024-02-09 20:32:00,,Cancelled,3997,0
FL-002434,SV-616,JFK,JED,AC-030,2024-02-21 08:48:00,2024-02-21 08:48:00,2024-02-21 14:18:00,2024-02-21 14:09:00,On-Time,3971,0
FL-002435,SV-594,RUH,DMM,AC-044,2025-12-13 05:55:00,2025-12-13 05:55:00,2025-12-13 12:45:00,2025-12-13 12:35:00,On-Time,4925,0
FL-002436,SV-185,RUH,DMM,AC-029,2024-02-22 22:01:00,2024-02-22 22:27:00,2024-02-23 04:00:00,2024-02-23 04:26:00,Delayed,4317,26
FL-002437,SV-274,DXB,JED,AC-019,2025-07-13 17:43:00,2025-07-13 17:54:00,2025-07-14 00:50:00,2025-07-14 01:01:00,On-Time,5130,11
FL-002438,SV-901,JED,CDG,AC-014,2025-04-02 08:44:00,2025-04-02 09:05:00,2025-04-02 16:29:00,2025-04-02 16:50:00,Delayed,5580,21
FL-002439,SV-292,LHR,JED,AC-021,2025-06-24 23:46:00,2025-06-25 00:39:00,2025-06-25 06:06:00,2025-06-25 06:59:00,Delayed,4567,53
FL-002440,SV-410,IST,DMM,AC-017,2024-02-23 03:04:00,2024-02-23 03:04:00,2024-02-23 08:35:00,2024-02-23 08:35:00,On-Time,3974,0
FL-002441,SV-218,JFK,JED,AC-022,2025-11-07 14:37:00,2025-11-07 15:18:00,2025-11-07 16:06:00,2025-11-07 16:47:00,Delayed,1078,41
FL-002442,SV-317,DMM,RUH,AC-047,2024-08-15 05:24:00,2024-08-15 05:24:00,2024-08-15 10:32:00,2024-08-15 10:22:00,On-Time,3698,0
FL-002443,SV-526,DMM,LHR,AC-021,2024-02-27 23:54:00,2024-02-27 23:54:00,2024-02-28 01:47:00,2024-02-28 01:37:00,On-Time,1366,0
FL-002444,SV-513,CDG,JED,AC-030,2024-11-25 18:39:00,2024-11-25 18:39:00,2024-11-25 21:07:00,2024-11-25 21:03:00,On-Time,1784,0
FL-002445,SV-213,DXB,DMM,AC-030,2024-03-11 10:32:00,2024-03-11 10:40:00,2024-03-11 11:47:00,2024-03-11 11:55:00,On-Time,904,8
FL-002446,SV-244,CDG,LHR,AC-001,2024-11-24 09:51:00,2024-11-24 09:56:00,2024-11-24 14:49:00,2024-11-24 14:54:00,On-Time,3580,5
FL-002447,SV-637,DMM,JED,AC-040,2024-08-05 23:19:00,,2024-08-06 02:41:00,,Cancelled,2425,0
FL-002448,SV-747,DXB,JED,AC-030,2024-07-03 07:57:00,2024-07-03 08:08:00,2024-07-03 15:41:00,2024-07-03 15:52:00,On-Time,5574,11
FL-002449,SV-402,IST,RUH,AC-015,2025-04-11 06:50:00,2025-04-11 07:58:00,2025-04-11 13:29:00,2025-04-11 14:37:00,Delayed,4797,68
FL-002450,SV-843,JFK,DMM,AC-030,2024-10-12 16:40:00,2024-10-12 16:40:00,2024-10-13 02:02:00,2024-10-13 01:59:00,On-Time,6751,0
FL-002451,SV-980,LHR,IST,AC-041,2025-11-20 22:59:00,2025-11-20 22:59:00,2025-11-21 02:33:00,2025-11-21 02:23:00,On-Time,2575,0
FL-002452,SV-687,DXB,DMM,AC-046,2025-12-19 03:30:00,2025-12-19 04:12:00,2025-12-19 09:14:00,2025-12-19 09:56:00,Delayed,4132,42
FL-002453,SV-939,CDG,JED,AC-024,2025-09-28 09:05:00,2025-09-28 09:05:00,2025-09-28 14:12:00,2025-09-28 14:04:00,On-Time,3695,0
FL-002454,SV-444,CDG,IST,AC-038,2024-02-19 07:35:00,2024-02-19 07:59:00,2024-02-19 17:00:00,2024-02-19 17:24:00,Delayed,6783,24
FL-002455,SV-913,LHR,JED,AC-022,2024-12-04 22:47:00,2024-12-04 23:01:00,2024-12-05 00:06:00,2024-12-05 00:20:00,On-Time,958,14
FL-002456,SV-900,DXB,RUH,AC-003,2025-04-14 04:30:00,2025-04-14 04:30:00,2025-04-14 07:09:00,2025-04-14 07:00:00,On-Time,1914,0
FL-002457,SV-100,DXB,CDG,AC-022,2024-10-07 08:07:00,2024-10-07 08:21:00,2024-10-07 15:45:00,2024-10-07 15:59:00,On-Time,5503,14
FL-002458,SV-246,IST,JED,AC-026,2024-06-28 20:39:00,2024-06-28 21:37:00,2024-06-29 04:09:00,2024-06-29 05:07:00,Delayed,5401,58
FL-002459,SV-386,CDG,LHR,AC-030,2025-08-17 16:56:00,2025-08-17 16:56:00,2025-08-18 01:56:00,2025-08-18 01:48:00,On-Time,6485,0
FL-002460,SV-753,RUH,DMM,AC-019,2024-01-22 03:33:00,2024-01-22 03:33:00,2024-01-22 05:08:00,2024-01-22 05:01:00,On-Time,1146,0
FL-002461,SV-152,LHR,DMM,AC-042,2025-09-04 17:33:00,2025-09-04 17:44:00,2025-09-04 23:50:00,2025-09-05 00:01:00,On-Time,4524,11
FL-002462,SV-403,DMM,JED,AC-030,2024-07-28 16:30:00,2024-07-28 17:44:00,2024-07-28 18:17:00,2024-07-28 19:31:00,Delayed,1288,74
FL-002463,SV-168,CDG,LHR,AC-019,2025-12-01 05:49:00,2025-12-01 05:53:00,2025-12-01 10:50:00,2025-12-01 10:54:00,On-Time,3615,4
FL-002464,SV-460,DMM,LHR,AC-046,2024-12-03 21:42:00,2024-12-03 21:43:00,2024-12-04 05:09:00,2024-12-04 05:10:00,On-Time,5369,1
FL-002465,SV-701,JFK,DXB,AC-020,2025-01-20 09:05:00,2025-01-20 09:05:00,2025-01-20 11:26:00,2025-01-20 11:23:00,On-Time,1703,0
FL-002466,SV-319,RUH,DMM,AC-018,2025-02-14 20:35:00,2025-02-14 20:35:00,2025-02-15 03:26:00,2025-02-15 03:17:00,On-Time,4939,0
FL-002467,SV-803,DXB,IST,AC-021,2025-05-03 02:58:00,2025-05-03 02:58:00,2025-05-03 04:46:00,2025-05-03 04:39:00,On-Time,1304,0
FL-002468,SV-674,CDG,RUH,AC-030,2025-04-20 15:06:00,2025-04-20 15:54:00,2025-04-20 16:16:00,2025-04-20 17:04:00,Delayed,845,48
FL-002469,SV-684,JED,DMM,AC-035,2024-03-08 13:09:00,2024-03-08 13:23:00,2024-03-08 21:48:00,2024-03-08 22:02:00,On-Time,6238,14
FL-002470,SV-260,DXB,DMM,AC-031,2025-12-23 16:06:00,,2025-12-23 19:04:00,,Cancelled,2147,0
FL-002471,SV-780,RUH,DMM,AC-029,2025-03-20 06:20:00,,2025-03-20 12:46:00,,Cancelled,4633,0
FL-002472,SV-188,JED,DMM,AC-027,2025-01-22 02:35:00,2025-01-22 02:38:00,2025-01-22 06:57:00,2025-01-22 07:00:00,On-Time,3154,3
FL-002473,SV-787,DXB,DMM,AC-002,2024-11-06 09:49:00,2024-11-06 10:02:00,2024-11-06 12:13:00,2024-11-06 12:26:00,On-Time,1732,13
FL-002474,SV-880,RUH,IST,AC-037,2025-03-22 04:28:00,2025-03-22 04:54:00,2025-03-22 13:54:00,2025-03-22 14:20:00,Delayed,6792,26
FL-002475,SV-684,LHR,JFK,AC-003,2024-05-31 20:45:00,2024-05-31 20:52:00,2024-06-01 02:53:00,2024-06-01 03:00:00,On-Time,4425,7
FL-002476,SV-856,RUH,DXB,AC-003,2024-07-28 10:41:00,2024-07-28 10:49:00,2024-07-28 12:35:00,2024-07-28 12:43:00,On-Time,1368,8
FL-002477,SV-688,JFK,IST,AC-010,2024-03-07 19:49:00,2024-03-07 20:14:00,2024-03-08 01:22:00,2024-03-08 01:47:00,Delayed,4007,25
FL-002478,SV-258,JED,DXB,AC-008,2024-08-19 20:18:00,,2024-08-20 04:17:00,,Cancelled,5756,0
FL-002479,SV-588,CDG,IST,AC-036,2024-04-09 12:46:00,2024-04-09 12:46:00,2024-04-09 13:24:00,2024-04-09 13:18:00,On-Time,461,0
FL-002480,SV-423,IST,CDG,AC-037,2024-12-03 00:47:00,2024-12-03 00:52:00,2024-12-03 03:46:00,2024-12-03 03:51:00,On-Time,2152,5
FL-002481,SV-709,CDG,IST,AC-024,2024-02-03 11:01:00,,2024-02-03 16:00:00,,Cancelled,3593,0
FL-002482,SV-480,LHR,CDG,AC-027,2025-05-24 00:08:00,2025-05-24 00:41:00,2025-05-24 06:50:00,2025-05-24 07:23:00,Delayed,4835,33
FL-002483,SV-201,LHR,JED,AC-012,2025-04-22 02:24:00,2025-04-22 02:24:00,2025-04-22 03:55:00,2025-04-22 03:52:00,On-Time,1093,0
FL-002484,SV-593,CDG,IST,AC-014,2024-10-05 22:28:00,2024-10-05 22:41:00,2024-10-06 01:39:00,2024-10-06 01:52:00,On-Time,2295,13
FL-002485,SV-743,RUH,IST,AC-012,2024-01-11 06:07:00,2024-01-11 06:07:00,2024-01-11 12:26:00,2024-01-11 12:19:00,On-Time,4555,0
FL-002486,SV-713,LHR,DXB,AC-037,2025-06-24 04:21:00,2025-06-24 04:27:00,2025-06-24 05:40:00,2025-06-24 05:46:00,On-Time,957,6
FL-002487,SV-118,CDG,RUH,AC-017,2025-05-12 01:39:00,2025-05-12 01:47:00,2025-05-12 07:50:00,2025-05-12 07:58:00,On-Time,4463,8
FL-002488,SV-553,DMM,LHR,AC-020,2024-10-14 18:49:00,2024-10-14 18:55:00,2024-10-14 21:16:00,2024-10-14 21:22:00,On-Time,1775,6
FL-002489,SV-581,CDG,JED,AC-019,2025-04-29 16:15:00,2025-04-29 16:15:00,2025-04-29 21:13:00,2025-04-29 21:09:00,On-Time,3579,0
FL-002490,SV-693,DMM,IST,AC-003,2024-11-21 03:59:00,2024-11-21 03:59:00,2024-11-21 10:33:00,2024-11-21 10:29:00,On-Time,4733,0
FL-002491,SV-496,DMM,LHR,AC-048,2024-08-31 07:02:00,2024-08-31 07:06:00,2024-08-31 16:14:00,2024-08-31 16:18:00,On-Time,6635,4
FL-002492,SV-378,RUH,DMM,AC-035,2024-08-31 20:48:00,2024-08-31 20:52:00,2024-09-01 02:54:00,2024-09-01 02:58:00,On-Time,4393,4
FL-002493,SV-950,JED,CDG,AC-047,2025-12-18 20:17:00,2025-12-18 21:10:00,2025-12-18 23:58:00,2025-12-19 00:51:00,Delayed,2657,53
FL-002494,SV-464,RUH,DXB,AC-007,2025-01-02 18:44:00,2025-01-02 19:04:00,2025-01-03 00:24:00,2025-01-03 00:44:00,Delayed,4080,20
FL-002495,SV-430,JFK,IST,AC-013,2025-01-14 02:58:00,2025-01-14 03:04:00,2025-01-14 06:20:00,2025-01-14 06:26:00,On-Time,2432,6
FL-002496,SV-740,IST,RUH,AC-019,2024-08-24 03:12:00,2024-08-24 03:20:00,2024-08-24 05:57:00,2024-08-24 06:05:00,On-Time,1983,8
FL-002497,SV-443,LHR,DMM,AC-005,2025-01-13 08:29:00,2025-01-13 08:29:00,2025-01-13 09:27:00,2025-01-13 09:22:00,On-Time,696,0
FL-002498,SV-921,DMM,JED,AC-020,2024-05-05 00:10:00,2024-05-05 00:10:00,2024-05-05 04:38:00,2024-05-05 04:38:00,On-Time,3216,0
FL-002499,SV-554,RUH,DXB,AC-003,2024-10-22 17:12:00,2024-10-22 17:15:00,2024-10-22 23:04:00,2024-10-22 23:07:00,On-Time,4233,3
FL-002500,SV-700,CDG,JFK,AC-007,2025-08-20 01:56:00,2025-08-20 02:03:00,2025-08-20 03:05:00,2025-08-20 03:12:00,On-Time,836,7
FL-002501,SV-824,RUH,DMM,AC-001,2024-02-20 10:14:00,2024-02-20 10:16:00,2024-02-20 18:34:00,2024-02-20 18:36:00,On-Time,6005,2
FL-002502,SV-754,LHR,DXB,AC-040,2025-10-26 04:31:00,2025-10-26 04:31:00,2025-10-26 09:23:00,2025-10-26 09:17:00,On-Time,3514,0
FL-002503,SV-164,RUH,DMM,AC-022,2024-07-10 18:00:00,2024-07-10 18:38:00,2024-07-10 22:40:00,2024-07-10 23:18:00,Delayed,3361,38
FL-002504,SV-175,DMM,JFK,AC-029,2025-01-25 10:24:00,2025-01-25 10:24:00,2025-01-25 13:40:00,2025-01-25 13:32:00,On-Time,2355,0
FL-002505,SV-810,CDG,DXB,AC-017,2024-08-17 05:30:00,2024-08-17 05:43:00,2024-08-17 06:21:00,2024-08-17 06:34:00,On-Time,623,13
FL-002506,SV-242,LHR,RUH,AC-036,2025-08-24 03:54:00,2025-08-24 03:59:00,2025-08-24 11:15:00,2025-08-24 11:20:00,On-Time,5292,5
FL-002507,SV-927,JED,CDG,AC-030,2025-08-19 03:15:00,,2025-08-19 09:58:00,,Cancelled,4846,0
FL-002508,SV-704,IST,JFK,AC-015,2024-03-05 12:56:00,2024-03-05 13:52:00,2024-03-05 18:33:00,2024-03-05 19:29:00,Delayed,4053,56
FL-002509,SV-572,DMM,JFK,AC-014,2024-08-17 01:46:00,2024-08-17 02:57:00,2024-08-17 07:52:00,2024-08-17 09:03:00,Delayed,4392,71
FL-002510,SV-516,IST,DXB,AC-046,2024-01-19 06:01:00,2024-01-19 06:11:00,2024-01-19 12:36:00,2024-01-19 12:46:00,On-Time,4741,10
FL-002511,SV-404,JFK,DXB,AC-025,2025-09-30 15:40:00,2025-09-30 15:40:00,2025-09-30 21:51:00,2025-09-30 21:45:00,On-Time,4453,0
FL-002512,SV-835,CDG,DXB,AC-036,2024-02-21 20:26:00,2024-02-21 20:32:00,2024-02-22 02:00:00,2024-02-22 02:06:00,On-Time,4008,6
FL-002513,SV-596,JFK,DMM,AC-010,2024-10-06 22:46:00,2024-10-06 22:57:00,2024-10-07 06:06:00,2024-10-07 06:17:00,On-Time,5289,11
FL-002514,SV-390,DXB,CDG,AC-036,2024-05-06 05:14:00,2024-05-06 05:26:00,2024-05-06 14:13:00,2024-05-06 14:25:00,On-Time,6477,12
FL-002515,SV-201,DXB,DMM,AC-042,2025-02-04 15:16:00,2025-02-04 15:25:00,2025-02-04 22:58:00,2025-02-04 23:07:00,On-Time,5548,9
FL-002516,SV-366,LHR,JFK,AC-019,2024-11-06 09:25:00,2024-11-06 09:26:00,2024-11-06 16:57:00,2024-11-06 16:58:00,On-Time,5428,1
FL-002517,SV-966,DMM,JED,AC-049,2024-03-24 20:10:00,2024-03-24 20:23:00,2024-03-25 04:56:00,2024-03-25 05:09:00,On-Time,6313,13
FL-002518,SV-721,DXB,DMM,AC-018,2025-08-29 08:34:00,2025-08-29 08:34:00,2025-08-29 14:54:00,2025-08-29 14:49:00,On-Time,4561,0
FL-002519,SV-941,DMM,DXB,AC-014,2024-04-12 12:58:00,2024-04-12 13:44:00,2024-04-12 15:42:00,2024-04-12 16:28:00,Delayed,1972,46
FL-002520,SV-876,DMM,JED,AC-043,2025-03-14 22:58:00,2025-03-14 23:00:00,2025-03-15 07:15:00,2025-03-15 07:17:00,On-Time,5967,2
FL-002521,SV-102,CDG,DMM,AC-034,2024-06-12 05:27:00,2024-06-12 05:40:00,2024-06-12 12:22:00,2024-06-12 12:35:00,On-Time,4981,13
FL-002522,SV-184,JFK,DMM,AC-014,2024-06-19 00:27:00,2024-06-19 00:32:00,2024-06-19 01:31:00,2024-06-19 01:36:00,On-Time,778,5
FL-002523,SV-893,LHR,RUH,AC-018,2024-12-03 03:44:00,2024-12-03 03:44:00,2024-12-03 05:02:00,2024-12-03 05:01:00,On-Time,941,0
FL-002524,SV-427,JFK,DXB,AC-042,2025-12-01 01:43:00,2025-12-01 01:43:00,2025-12-01 07:30:00,2025-12-01 07:29:00,On-Time,4166,0
FL-002525,SV-915,CDG,JFK,AC-020,2025-01-19 21:33:00,2025-01-19 21:37:00,2025-01-20 07:08:00,2025-01-20 07:12:00,On-Time,6900,4
FL-002526,SV-549,DXB,DMM,AC-045,2024-12-30 21:24:00,2024-12-30 21:29:00,2024-12-31 02:31:00,2024-12-31 02:36:00,On-Time,3689,5
FL-002527,SV-553,RUH,CDG,AC-020,2025-05-16 17:47:00,2025-05-16 17:47:00,2025-05-16 21:19:00,2025-05-16 21:09:00,On-Time,2550,0
FL-002528,SV-728,DXB,JED,AC-004,2024-10-17 13:01:00,2024-10-17 13:01:00,2024-10-17 22:34:00,2024-10-17 22:27:00,On-Time,6876,0
FL-002529,SV-320,IST,RUH,AC-024,2025-02-26 12:08:00,2025-02-26 12:16:00,2025-02-26 16:27:00,2025-02-26 16:35:00,On-Time,3113,8
FL-002530,SV-253,JED,DMM,AC-010,2024-07-17 00:41:00,2024-07-17 00:41:00,2024-07-17 09:46:00,2024-07-17 09:42:00,On-Time,6544,0
FL-002531,SV-764,JFK,CDG,AC-025,2025-02-13 14:21:00,2025-02-13 14:28:00,2025-02-13 23:12:00,2025-02-13 23:19:00,On-Time,6378,7
FL-002532,SV-111,LHR,JED,AC-004,2024-01-13 17:31:00,2024-01-13 17:31:00,2024-01-13 18:10:00,2024-01-13 18:08:00,On-Time,472,0
FL-002533,SV-232,JFK,RUH,AC-020,2024-12-16 23:36:00,2024-12-17 00:28:00,2024-12-17 01:16:00,2024-12-17 02:08:00,Delayed,1204,52
FL-002534,SV-403,IST,RUH,AC-012,2025-10-05 00:45:00,2025-10-05 00:45:00,2025-10-05 09:03:00,2025-10-05 09:02:00,On-Time,5978,0
FL-002535,SV-392,IST,DMM,AC-024,2024-01-07 06:27:00,2024-01-07 06:53:00,2024-01-07 08:58:00,2024-01-07 09:24:00,Delayed,1817,26
FL-002536,SV-399,RUH,IST,AC-049,2025-11-12 10:54:00,2025-11-12 11:09:00,2025-11-12 15:35:00,2025-11-12 15:50:00,Delayed,3380,15
FL-002537,SV-839,IST,RUH,AC-023,2025-08-31 02:22:00,2025-08-31 02:25:00,2025-08-31 03:40:00,2025-08-31 03:43:00,On-Time,936,3
FL-002538,SV-882,RUH,DMM,AC-035,2024-09-08 18:00:00,,2024-09-08 19:41:00,,Cancelled,1223,0
FL-002539,SV-142,RUH,JED,AC-012,2024-06-28 13:49:00,2024-06-28 13:49:00,2024-06-28 22:13:00,2024-06-28 22:10:00,On-Time,6058,0
FL-002540,SV-442,RUH,DMM,AC-005,2025-09-27 07:06:00,2025-09-27 08:18:00,2025-09-27 13:19:00,2025-09-27 14:31:00,Delayed,4476,72
