Delay_ID,Flight_ID,Delay_Reason,Delay_Minutes
DEL-004945,FL-021437,Air Traffic Control,35
DEL-004946,FL-021440,Weather,174
DEL-004947,FL-021442,Maintenance,136
DEL-004948,FL-021443,Air Traffic Control,43
DEL-004949,FL-021445,Maintenance,16
DEL-004950,FL-021446,Weather,178
DEL-004951,FL-021447,Weather,86
DEL-004952,FL-021456,Maintenance,41
DEL-004953,FL-021459,Late Aircraft Arrival,33
DEL-004954,FL-021481,Air Traffic Control,101
DEL-004955,FL-021483,Maintenance,39
DEL-004956,FL-021484,Air Traffic Control,31
DEL-004957,FL-021489,Air Traffic Control,185
DEL-004958,FL-021491,Air Traffic Control,42
DEL-004959,FL-021492,Weather,47
DEL-004960,FL-021496,Weather,51
DEL-004961,FL-021497,Weather,62
DEL-004962,FL-021500,Maintenance,154
DEL-004963,FL-021501,Weather,25
DEL-004964,FL-021502,Air Traffic Control,41
DEL-004965,FL-021505,Maintenance,25
DEL-004966,FL-021512,Weather,91
DEL-004967,FL-021533,Security,61
DEL-004968,FL-021535,Air Traffic Control,83
DEL-004969,FL-021536,Air Traffic Control,20
DEL-004970,FL-021539,Maintenance,53
DEL-004971,FL-021542,Weather,37
DEL-004972,FL-021549,Late Aircraft Arrival,22
DEL-004973,FL-021550,Maintenance,20
DEL-004974,FL-021552,Air Traffic Control,45
DEL-004975,FL-021559,Weather,53
DEL-004976,FL-021560,Air Traffic Control,42
DEL-004977,FL-021561,Air Traffic Control,18
DEL-004978,FL-021572,Air Traffic Control,15
DEL-004979,FL-021586,Air Traffic Control,37
DEL-004980,FL-021605,Air Traffic Control,54
DEL-004981,FL-021608,Maintenance,15
DEL-004982,FL-021623,Late Aircraft Arrival,69
DEL-004983,FL-021627,Air Traffic Control,15
DEL-004984,FL-021630,Air Traffic Control,15
DEL-004985,FL-021637,Maintenance,49
DEL-004986,FL-021638,Air Traffic Control,17
DEL-004987,FL-021645,Maintenance,61
DEL-004988,FL-021650,Late Aircraft Arrival,68
DEL-004989,FL-021651,Security,44
DEL-004990,FL-021652,Late Aircraft Arrival,18
DEL-004991,FL-021664,Maintenance,30
DEL-004992,FL-021666,Maintenance,51
DEL-004993,FL-021668,Air Traffic Control,39
DEL-004994,FL-021675,Weather,25
DEL-004995,FL-021677,Late Aircraft Arrival,73
DEL-004996,FL-021680,Weather,35
DEL-004997,FL-021697,Weather,37
DEL-004998,FL-021699,Late Aircraft Arrival,20
DEL-004999,FL-021700,Maintenance,18
DEL-005000,FL-021701,Maintenance,76
DEL-005001,FL-021708,Weather,27
DEL-005002,FL-021713,Late Aircraft Arrival,43
DEL-005003,FL-021714,Maintenance,24
DEL-005004,FL-021715,Weather,51
DEL-005005,FL-021716,Air Traffic Control,53
DEL-005006,FL-021721,Late Aircraft Arrival,41
DEL-005007,FL-021732,Security,100
DEL-005008,FL-021733,Weather,28
DEL-005009,FL-021735,Air Traffic Control,191
DEL-005010,FL-021751,Security,19
DEL-005011,FL-021757,Weather,37
DEL-005012,FL-021760,Maintenance,30
DEL-005013,FL-021770,Weather,42
DEL-005014,FL-021777,Maintenance,121
DEL-005015,FL-021779,Weather,34
DEL-005016,FL-021789,Maintenance,37
DEL-005017,FL-021795,Air Traffic Control,72
DEL-005018,FL-021800,Late Aircraft Arrival,17
DEL-005019,FL-021812,Maintenance,48
DEL-005020,FL-021817,Maintenance,115
DEL-005021,FL-021826,Maintenance,85
DEL-005022,FL-021835,Late Aircraft Arrival,65
DEL-005023,FL-021842,Weather,66
DEL-005024,FL-021858,Late Aircraft Arrival,94
DEL-005025,FL-021859,Late Aircraft Arrival,140
DEL-005026,FL-021863,Late Aircraft Arrival,51
DEL-005027,FL-021866,Weather,59
DEL-005028,FL-021867,Maintenance,28
DEL-005029,FL-021870,Air Traffic Control,21
DEL-005030,FL-021875,Weather,102
DEL-005031,FL-021876,Maintenance,93
DEL-005032,FL-021893,Weather,86
DEL-005033,FL-021895,Maintenance,20
DEL-005034,FL-021898,Weather,19
DEL-005035,FL-021903,Security,77
DEL-005036,FL-021908,Weather,17
DEL-005037,FL-021910,Maintenance,67
DEL-005038,FL-021911,Air Traffic Control,24
DEL-005039,FL-021920,Weather,51
DEL-005040,FL-021938,Weather,18
DEL-005041,FL-021941,Air Traffic Control,213
DEL-005042,FL-021946,Late Aircraft Arrival,30
DEL-005043,FL-021947,Weather,82
DEL-005044,FL-021955,Late Aircraft Arrival,48
DEL-005045,FL-021959,Air Traffic Control,60
DEL-005046,FL-021962,Air Traffic Control,18
DEL-005047,FL-021966,Weather,15
DEL-005048,FL-021967,Maintenance,58
DEL-005049,FL-021969,Weather,25
DEL-005050,FL-021972,Maintenance,61
DEL-005051,FL-021976,Weather,19
DEL-005052,FL-021980,Weather,108
DEL-005053,FL-021984,Weather,112
DEL-005054,FL-021987,Maintenance,21
DEL-005055,FL-021993,Weather,18
DEL-005056,FL-021996,Air Traffic Control,50
DEL-005057,FL-021999,Maintenance,70
DEL-005058,FL-022004,Air Traffic Control,154
DEL-005059,FL-022014,Late Aircraft Arrival,310
DEL-005060,FL-022018,Security,21
DEL-005061,FL-022025,Weather,48
DEL-005062,FL-022028,Air Traffic Control,26
DEL-005063,FL-022034,Air Traffic Control,65
DEL-005064,FL-022039,Late Aircraft Arrival,103
DEL-005065,FL-022042,Weather,61
DEL-005066,FL-022045,Air Traffic Control,87
DEL-005067,FL-022047,Security,93
DEL-005068,FL-022048,Weather,23
DEL-005069,FL-022049,Maintenance,45
DEL-005070,FL-022050,Late Aircraft Arrival,64
DEL-005071,FL-022059,Weather,89
DEL-005072,FL-022061,Late Aircraft Arrival,109
DEL-005073,FL-022065,Air Traffic Control,50
DEL-005074,FL-022071,Late Aircraft Arrival,103
DEL-005075,FL-022073,Weather,23
DEL-005076,FL-022076,Air Traffic Control,85
DEL-005077,FL-022079,Weather,60
DEL-005078,FL-022085,Weather,17
DEL-005079,FL-022088,Air Traffic Control,30
DEL-005080,FL-022091,Maintenance,206
DEL-005081,FL-022093,Air Traffic Control,66
DEL-005082,FL-022094,Weather,36
DEL-005083,FL-022095,Weather,44
DEL-005084,FL-022109,Air Traffic Control,16
DEL-005085,FL-022120,Late Aircraft Arrival,23
DEL-005086,FL-022122,Weather,23
DEL-005087,FL-022123,Weather,66
DEL-005088,FL-022127,Late Aircraft Arrival,18
DEL-005089,FL-022128,Weather,21
DEL-005090,FL-022129,Air Traffic Control,28
DEL-005091,FL-022131,Air Traffic Control,41
DEL-005092,FL-022138,Late Aircraft Arrival,63
DEL-005093,FL-022143,Weather,61
DEL-005094,FL-022155,Maintenance,39
DEL-005095,FL-022158,Air Traffic Control,29
DEL-005096,FL-022160,Maintenance,27
DEL-005097,FL-022162,Weather,50
DEL-005098,FL-022167,Maintenance,65
DEL-005099,FL-022168,Air Traffic Control,18
DEL-005100,FL-022170,Weather,17
DEL-005101,FL-022173,Air Traffic Control,24
DEL-005102,FL-022174,Air Traffic Control,55
DEL-005103,FL-022177,Security,23
DEL-005104,FL-022179,Weather,35
DEL-005105,FL-022185,Air Traffic Control,44
DEL-005106,FL-022200,Air Traffic Control,48
DEL-005107,FL-022201,Air Traffic Control,23
DEL-005108,FL-022223,Maintenance,74
DEL-005109,FL-022228,Late Aircraft Arrival,34
DEL-005110,FL-022229,Late Aircraft Arrival,27
DEL-005111,FL-022230,Weather,45
DEL-005112,FL-022238,Security,166
DEL-005113,FL-022242,Air Traffic Control,44
DEL-005114,FL-022243,Weather,68
DEL-005115,FL-022244,Air Traffic Control,265
DEL-005116,FL-022245,Maintenance,43
DEL-005117,FL-022248,Weather,26
DEL-005118,FL-022256,Security,44
DEL-005119,FL-022257,Late Aircraft Arrival,78
DEL-005120,FL-022262,Late Aircraft Arrival,42
DEL-005121,FL-022264,Security,47
DEL-005122,FL-022266,Air Traffic Control,20
DEL-005123,FL-022268,Weather,52
DEL-005124,FL-022273,Air Traffic Control,22
DEL-005125,FL-022276,Weather,20
DEL-005126,FL-022278,Air Traffic Control,109
DEL-005127,FL-022291,Late Aircraft Arrival,65
DEL-005128,FL-022295,Maintenance,22
DEL-005129,FL-022297,Weather,74
DEL-005130,FL-022302,Maintenance,41
DEL-005131,FL-022304,Air Traffic Control,79
DEL-005132,FL-022306,Air Traffic Control,43
DEL-005133,FL-022307,Weather,15
DEL-005134,FL-022322,Late Aircraft Arrival,28
DEL-005135,FL-022333,Maintenance,278
DEL-005136,FL-022338,Late Aircraft Arrival,20
DEL-005137,FL-022342,Security,80
DEL-005138,FL-022343,Maintenance,61
DEL-005139,FL-022345,Late Aircraft Arrival,50
DEL-005140,FL-022347,Weather,54
DEL-005141,FL-022349,Late Aircraft Arrival,92
DEL-005142,FL-022351,Air Traffic Control,22
DEL-005143,FL-022353,Air Traffic Control,42
DEL-005144,FL-022357,Air Traffic Control,65
DEL-005145,FL-022360,Air Traffic Control,24
DEL-005146,FL-022381,Maintenance,73
DEL-005147,FL-022384,Air Traffic Control,24
DEL-005148,FL-022394,Maintenance,50
DEL-005149,FL-022395,Security,153
DEL-005150,FL-022398,Maintenance,191
DEL-005151,FL-022407,Late Aircraft Arrival,62
DEL-005152,FL-022411,Late Aircraft Arrival,19
DEL-005153,FL-022413,Late Aircraft Arrival,101
DEL-005154,FL-022420,Air Traffic Control,195
DEL-005155,FL-022424,Maintenance,39
DEL-005156,FL-022426,Security,158
DEL-005157,FL-022435,Air Traffic Control,59
DEL-005158,FL-022438,Air Traffic Control,29
DEL-005159,FL-022443,Air Traffic Control,47
DEL-005160,FL-022445,Late Aircraft Arrival,211
DEL-005161,FL-022446,Air Traffic Control,102
DEL-005162,FL-022463,Weather,58
DEL-005163,FL-022467,Late Aircraft Arrival,70
DEL-005164,FL-022478,Security,15
DEL-005165,FL-022486,Air Traffic Control,63
DEL-005166,FL-022492,Maintenance,22
DEL-005167,FL-022493,Air Traffic Control,20
DEL-005168,FL-022494,Weather,64
DEL-005169,FL-022502,Weather,20
DEL-005170,FL-022515,Maintenance,29
DEL-005171,FL-022516,Late Aircraft Arrival,29
DEL-005172,FL-022517,Late Aircraft Arrival,18
DEL-005173,FL-022519,Security,132
DEL-005174,FL-022525,Late Aircraft Arrival,32
DEL-005175,FL-022530,Late Aircraft Arrival,57
DEL-005176,FL-022531,Late Aircraft Arrival,69
DEL-005177,FL-022535,Air Traffic Control,53
DEL-005178,FL-022536,Weather,28
DEL-005179,FL-022538,Weather,24
DEL-005180,FL-022550,Weather,77
DEL-005181,FL-022556,Maintenance,85
DEL-005182,FL-022560,Security,76
DEL-005183,FL-022570,Air Traffic Control,58
DEL-005184,FL-022576,Air Traffic Control,252
DEL-005185,FL-022580,Security,17
DEL-005186,FL-022584,Maintenance,23
DEL-005187,FL-022585,Late Aircraft Arrival,119
DEL-005188,FL-022589,Maintenance,17
DEL-005189,FL-022590,Late Aircraft Arrival,37
DEL-005190,FL-022596,Weather,70
DEL-005191,FL-022597,Weather,35
DEL-005192,FL-022601,Security,116
DEL-005193,FL-022604,Maintenance,22
DEL-005194,FL-022605,Late Aircraft Arrival,182
DEL-005195,FL-022612,Maintenance,17
DEL-005196,FL-022613,Weather,22
DEL-005197,FL-022614,Air Traffic Control,53
DEL-005198,FL-022615,Late Aircraft Arrival,27
DEL-005199,FL-022624,Weather,53
DEL-005200,FL-022625,Air Traffic Control,28
DEL-005201,FL-022628,Security,66
DEL-005202,FL-022631,Maintenance,87
DEL-005203,FL-022632,Maintenance,220
DEL-005204,FL-022634,Late Aircraft Arrival,21
DEL-005205,FL-022638,Maintenance,32
DEL-005206,FL-022642,Weather,67
DEL-005207,FL-022646,Late Aircraft Arrival,15
DEL-005208,FL-022648,Maintenance,220
DEL-005209,FL-022652,Maintenance,49
DEL-005210,FL-022655,Maintenance,76
DEL-005211,FL-022656,Weather,24
DEL-005212,FL-022658,Air Traffic Control,37
DEL-005213,FL-022665,Weather,79
DEL-005214,FL-022670,Maintenance,80
DEL-005215,FL-022683,Weather,53
DEL-005216,FL-022684,Air Traffic Control,64
DEL-005217,FL-022685,Weather,19
DEL-005218,FL-022689,Weather,102
DEL-005219,FL-022692,Maintenance,36
DEL-005220,FL-022694,Late Aircraft Arrival,64
DEL-005221,FL-022695,Security,16
DEL-005222,FL-022698,Maintenance,94
DEL-005223,FL-022701,Late Aircraft Arrival,27
DEL-005224,FL-022703,Maintenance,151
DEL-005225,FL-022704,Air Traffic Control,46
DEL-005226,FL-022707,Air Traffic Control,78
DEL-005227,FL-022712,Late Aircraft Arrival,22
DEL-005228,FL-022715,Air Traffic Control,38
DEL-005229,FL-022719,Security,201
DEL-005230,FL-022723,Air Traffic Control,48
DEL-005231,FL-022730,Air Traffic Control,57
DEL-005232,FL-022731,Late Aircraft Arrival,43
DEL-005233,FL-022732,Weather,73
DEL-005234,FL-022734,Weather,22
DEL-005235,FL-022738,Air Traffic Control,49
DEL-005236,FL-022740,Maintenance,20
DEL-005237,FL-022746,Late Aircraft Arrival,78
DEL-005238,FL-022747,Maintenance,175
DEL-005239,FL-022751,Weather,36
DEL-005240,FL-022756,Weather,15
DEL-005241,FL-022757,Air Traffic Control,55
DEL-005242,FL-022760,Air Traffic Control,32
DEL-005243,FL-022768,Maintenance,57
DEL-005244,FL-022771,Air Traffic Control,41
DEL-005245,FL-022773,Late Aircraft Arrival,91
DEL-005246,FL-022775,Security,77
DEL-005247,FL-022777,Maintenance,27
DEL-005248,FL-022783,Air Traffic Control,16
DEL-005249,FL-022784,Maintenance,25
DEL-005250,FL-022788,Late Aircraft Arrival,24
DEL-005251,FL-022793,Air Traffic Control,115
DEL-005252,FL-022796,Maintenance,20
DEL-005253,FL-022797,Weather,27
DEL-005254,FL-022801,Air Traffic Control,25
DEL-005255,FL-022804,Late Aircraft Arrival,17
DEL-005256,FL-022807,Late Aircraft Arrival,50
DEL-005257,FL-022812,Air Traffic Control,55
DEL-005258,FL-022818,Maintenance,59
DEL-005259,FL-022820,Late Aircraft Arrival,27
DEL-005260,FL-022825,Maintenance,25
DEL-005261,FL-022827,Weather,60
DEL-005262,FL-022835,Maintenance,55
DEL-005263,FL-022844,Late Aircraft Arrival,75
DEL-005264,FL-022851,Air Traffic Control,44
DEL-005265,FL-022857,Weather,35
DEL-005266,FL-022861,Weather,28
DEL-005267,FL-022862,Air Traffic Control,16
DEL-005268,FL-022863,Air Traffic Control,53
DEL-005269,FL-022864,Security,28
DEL-005270,FL-022867,Weather,38
DEL-005271,FL-022868,Security,34
DEL-005272,FL-022872,Weather,25
DEL-005273,FL-022873,Air Traffic Control,233
DEL-005274,FL-022883,Maintenance,20
DEL-005275,FL-022885,Weather,41
DEL-005276,FL-022886,Maintenance,18
DEL-005277,FL-022888,Air Traffic Control,15
DEL-005278,FL-022893,Air Traffic Control,96
DEL-005279,FL-022899,Maintenance,77
DEL-005280,FL-022906,Maintenance,20
DEL-005281,FL-022912,Weather,75
DEL-005282,FL-022915,Air Traffic Control,52
DEL-005283,FL-022919,Late Aircraft Arrival,66
DEL-005284,FL-022921,Weather,114
DEL-005285,FL-022926,Weather,56
DEL-005286,FL-022931,Late Aircraft Arrival,17
DEL-005287,FL-022932,Late Aircraft Arrival,82
DEL-005288,FL-022934,Late Aircraft Arrival,29
DEL-005289,FL-022937,Weather,36
DEL-005290,FL-022944,Maintenance,27
DEL-005291,FL-022945,Air Traffic Control,50
DEL-005292,FL-022950,Air Traffic Control,64
DEL-005293,FL-022952,Weather,29
DEL-005294,FL-022955,Maintenance,16
DEL-005295,FL-022961,Air Traffic Control,36
DEL-005296,FL-022977,Weather,25
DEL-005297,FL-022980,Security,75
DEL-005298,FL-022981,Air Traffic Control,21
DEL-005299,FL-022989,Air Traffic Control,65
DEL-005300,FL-022990,Air Traffic Control,31
DEL-005301,FL-022992,Weather,120
DEL-005302,FL-023001,Weather,46
DEL-005303,FL-023006,Security,50
DEL-005304,FL-023009,Air Traffic Control,17
DEL-005305,FL-023025,Air Traffic Control,16
DEL-005306,FL-023032,Late Aircraft Arrival,71
DEL-005307,FL-023035,Weather,16
DEL-005308,FL-023038,Air Traffic Control,27
DEL-005309,FL-023042,Air Traffic Control,25
DEL-005310,FL-023049,Weather,76
DEL-005311,FL-023053,Weather,36
DEL-005312,FL-023055,Air Traffic Control,35
DEL-005313,FL-023057,Air Traffic Control,34
DEL-005314,FL-023061,Weather,43
DEL-005315,FL-023069,Weather,120
DEL-005316,FL-023072,Maintenance,33
DEL-005317,FL-023076,Late Aircraft Arrival,45
DEL-005318,FL-023082,Weather,49
DEL-005319,FL-023097,Weather,109
DEL-005320,FL-023111,Air Traffic Control,37
DEL-005321,FL-023116,Air Traffic Control,16
DEL-005322,FL-023118,Security,117
DEL-005323,FL-023119,Weather,36
DEL-005324,FL-023125,Maintenance,31
DEL-005325,FL-023141,Late Aircraft Arrival,16
DEL-005326,FL-023144,Weather,23
DEL-005327,FL-023147,Weather,72
DEL-005328,FL-023149,Weather,42
DEL-005329,FL-023157,Air Traffic Control,70
DEL-005330,FL-023166,Late Aircraft Arrival,15
DEL-005331,FL-023180,Weather,18
DEL-005332,FL-023181,Weather,44
DEL-005333,FL-023184,Maintenance,36
DEL-005334,FL-023195,Maintenance,138
DEL-005335,FL-023205,Late Aircraft Arrival,43
DEL-005336,FL-023207,Late Aircraft Arrival,41
DEL-005337,FL-023209,Air Traffic Control,129
DEL-005338,FL-023211,Weather,15
DEL-005339,FL-023222,Late Aircraft Arrival,56
DEL-005340,FL-023223,Air Traffic Control,15
DEL-005341,FL-023225,Weather,28
DEL-005342,FL-023234,Weather,45
DEL-005343,FL-023235,Weather,27
DEL-005344,FL-023236,Air Traffic Control,23
DEL-005345,FL-023240,Weather,36
DEL-005346,FL-023249,Maintenance,89
DEL-005347,FL-023256,Air Traffic Control,32
DEL-005348,FL-023266,Weather,44
DEL-005349,FL-023271,Late Aircraft Arrival,15
DEL-005350,FL-023272,Late Aircraft Arrival,51
DEL-005351,FL-023273,Maintenance,170
DEL-005352,FL-023275,Weather,52
DEL-005353,FL-023284,Late Aircraft Arrival,112
DEL-005354,FL-023285,Maintenance,56
DEL-005355,FL-023288,Air Traffic Control,93
DEL-005356,FL-023290,Late Aircraft Arrival,53
DEL-005357,FL-023299,Weather,18
DEL-005358,FL-023303,Air Traffic Control,53
DEL-005359,FL-023310,Security,110
DEL-005360,FL-023329,Weather,22
DEL-005361,FL-023331,Weather,35
DEL-005362,FL-023332,Maintenance,56
DEL-005363,FL-023341,Air Traffic Control,75
DEL-005364,FL-023346,Late Aircraft Arrival,29
DEL-005365,FL-023354,Air Traffic Control,69
DEL-005366,FL-023358,Maintenance,79
DEL-005367,FL-023369,Air Traffic Control,34
DEL-005368,FL-023371,Air Traffic Control,65
DEL-005369,FL-023375,Air Traffic Control,31
DEL-005370,FL-023377,Late Aircraft Arrival,19
DEL-005371,FL-023384,Weather,33
DEL-005372,FL-023385,Weather,78
DEL-005373,FL-023391,Air Traffic Control,53
DEL-005374,FL-023392,Maintenance,17
DEL-005375,FL-023393,Air Traffic Control,183
DEL-005376,FL-023395,Maintenance,21
DEL-005377,FL-023400,Late Aircraft Arrival,19
DEL-005378,FL-023402,Security,54
DEL-005379,FL-023404,Air Traffic Control,51
DEL-005380,FL-023405,Weather,21
DEL-005381,FL-023407,Late Aircraft Arrival,28
DEL-005382,FL-023408,Security,118
DEL-005383,FL-023412,Security,44
DEL-005384,FL-023417,Maintenance,139
DEL-005385,FL-023418,Weather,116
DEL-005386,FL-023422,Security,22
DEL-005387,FL-023429,Air Traffic Control,131
DEL-005388,FL-023433,Air Traffic Control,19
DEL-005389,FL-023434,Weather,51
DEL-005390,FL-023439,Security,45
DEL-005391,FL-023440,Weather,43
DEL-005392,FL-023445,Late Aircraft Arrival,24
DEL-005393,FL-023446,Maintenance,49
DEL-005394,FL-023447,Maintenance,44
DEL-005395,FL-023452,Air Traffic Control,39
DEL-005396,FL-023456,Air Traffic Control,46
DEL-005397,FL-023458,Weather,38
DEL-005398,FL-023462,Weather,31
DEL-005399,FL-023467,Weather,25
DEL-005400,FL-023471,Weather,34
DEL-005401,FL-023472,Air Traffic Control,103
DEL-005402,FL-023475,Weather,53
DEL-005403,FL-023479,Air Traffic Control,34
DEL-005404,FL-023480,Security,57
DEL-005405,FL-023495,Maintenance,181
DEL-005406,FL-023496,Air Traffic Control,28
DEL-005407,FL-023502,Weather,118
DEL-005408,FL-023503,Weather,119
DEL-005409,FL-023508,Maintenance,58
DEL-005410,FL-023511,Late Aircraft Arrival,15
DEL-005411,FL-023514,Weather,31
DEL-005412,FL-023516,Security,25
DEL-005413,FL-023518,Maintenance,89
DEL-005414,FL-023526,Late Aircraft Arrival,32
DEL-005415,FL-023538,Air Traffic Control,21
DEL-005416,FL-023541,Air Traffic Control,38
DEL-005417,FL-023543,Weather,148
DEL-005418,FL-023557,Air Traffic Control,307
DEL-005419,FL-023569,Air Traffic Control,49
DEL-005420,FL-023571,Maintenance,36
DEL-005421,FL-023572,Late Aircraft Arrival,69
DEL-005422,FL-023575,Weather,98
DEL-005423,FL-023577,Air Traffic Control,45
DEL-005424,FL-023582,Late Aircraft Arrival,74
DEL-005425,FL-023593,Weather,17
DEL-005426,FL-023603,Air Traffic Control,56
DEL-005427,FL-023605,Maintenance,92
DEL-005428,FL-023606,Maintenance,65
DEL-005429,FL-023609,Maintenance,30
DEL-005430,FL-023617,Late Aircraft Arrival,134
DEL-005431,FL-023626,Weather,54
DEL-005432,FL-023631,Weather,33
DEL-005433,FL-023632,Late Aircraft Arrival,16
DEL-005434,FL-023634,Late Aircraft Arrival,32
DEL-005435,FL-023635,Maintenance,16
DEL-005436,FL-023637,Air Traffic Control,35
DEL-005437,FL-023649,Maintenance,17
DEL-005438,FL-023652,Weather,32
DEL-005439,FL-023653,Weather,61
DEL-005440,FL-023654,Maintenance,144
DEL-005441,FL-023661,Weather,63
DEL-005442,FL-023670,Air Traffic Control,90
DEL-005443,FL-023671,Air Traffic Control,47
DEL-005444,FL-023673,Security,90
DEL-005445,FL-023675,Air Traffic Control,81
DEL-005446,FL-023677,Late Aircraft Arrival,32
DEL-005447,FL-023679,Maintenance,17
DEL-005448,FL-023690,Late Aircraft Arrival,37
DEL-005449,FL-023692,Weather,28
DEL-005450,FL-023695,Air Traffic Control,48
DEL-005451,FL-023696,Weather,20
DEL-005452,FL-023705,Late Aircraft Arrival,33
DEL-005453,FL-023710,Air Traffic Control,207
DEL-005454,FL-023713,Weather,84
DEL-005455,FL-023724,Air Traffic Control,33
DEL-005456,FL-023735,Late Aircraft Arrival,30
DEL-005457,FL-023736,Weather,40
DEL-005458,FL-023741,Weather,89
DEL-005459,FL-023750,Late Aircraft Arrival,15
DEL-005460,FL-023757,Air Traffic Control,52
DEL-005461,FL-023758,Air Traffic Control,25
DEL-005462,FL-023764,Air Traffic Control,22
DEL-005463,FL-023766,Air Traffic Control,68
DEL-005464,FL-023768,Weather,175
DEL-005465,FL-023771,Air Traffic Control,19
DEL-005466,FL-023776,Air Traffic Control,20
DEL-005467,FL-023781,Air Traffic Control,55
DEL-005468,FL-023785,Maintenance,120
DEL-005469,FL-023786,Late Aircraft Arrival,42
DEL-005470,FL-023789,Maintenance,27
DEL-005471,FL-023794,Security,54
DEL-005472,FL-023796,Air Traffic Control,31
DEL-005473,FL-023799,Weather,65
DEL-005474,FL-023800,Maintenance,21
DEL-005475,FL-023802,Late Aircraft Arrival,103
DEL-005476,FL-023803,Maintenance,24
DEL-005477,FL-023804,Late Aircraft Arrival,51
DEL-005478,FL-023811,Maintenance,123
DEL-005479,FL-023813,Maintenance,56
DEL-005480,FL-023817,Weather,55
DEL-005481,FL-023826,Air Traffic Control,97
DEL-005482,FL-023828,Air Traffic Control,47
DEL-005483,FL-023831,Maintenance,50
DEL-005484,FL-023839,Air Traffic Control,48
DEL-005485,FL-023840,Late Aircraft Arrival,64
DEL-005486,FL-023846,Weather,112
DEL-005487,FL-023849,Air Traffic Control,18
DEL-005488,FL-023852,Air Traffic Control,18
DEL-005489,FL-023854,Air Traffic Control,48
DEL-005490,FL-023857,Weather,32
DEL-005491,FL-023867,Late Aircraft Arrival,43
DEL-005492,FL-023874,Late Aircraft Arrival,75
DEL-005493,FL-023875,Late Aircraft Arrival,56
DEL-005494,FL-023883,Air Traffic Control,23
DEL-005495,FL-023893,Air Traffic Control,36
DEL-005496,FL-023901,Weather,85
DEL-005497,FL-023902,Late Aircraft Arrival,15
DEL-005498,FL-023925,Weather,85
DEL-005499,FL-023935,Late Aircraft Arrival,85
DEL-005500,FL-023942,Maintenance,132
DEL-005501,FL-023943,Security,263
DEL-005502,FL-023951,Weather,85
DEL-005503,FL-023952,Maintenance,26
DEL-005504,FL-023958,Weather,57
DEL-005505,FL-023963,Weather,82
DEL-005506,FL-023964,Late Aircraft Arrival,52
DEL-005507,FL-023965,Air Traffic Control,24
DEL-005508,FL-023981,Maintenance,26
DEL-005509,FL-023983,Security,15
DEL-005510,FL-023984,Maintenance,25
DEL-005511,FL-023989,Maintenance,36
DEL-005512,FL-023990,Maintenance,18
DEL-005513,FL-024000,Air Traffic Control,61
DEL-005514,FL-024003,Weather,43
DEL-005515,FL-024004,Maintenance,66
DEL-005516,FL-024005,Security,24
DEL-005517,FL-024009,Maintenance,48
DEL-005518,FL-024010,Air Traffic Control,32
DEL-005519,FL-024011,Late Aircraft Arrival,19
DEL-005520,FL-024016,Weather,60
DEL-005521,FL-024020,Late Aircraft Arrival,45
DEL-005522,FL-024025,Air Traffic Control,42
DEL-005523,FL-024031,Weather,48
DEL-005524,FL-024032,Maintenance,155
DEL-005525,FL-024034,Maintenance,37
DEL-005526,FL-024036,Weather,26
DEL-005527,FL-024045,Security,32
DEL-005528,FL-024048,Air Traffic Control,105
DEL-005529,FL-024049,Late Aircraft Arrival,35
DEL-005530,FL-024050,Maintenance,93
DEL-005531,FL-024056,Security,87
DEL-005532,FL-024059,Weather,71
DEL-005533,FL-024062,Air Traffic Control,27
DEL-005534,FL-024067,Air Traffic Control,63
DEL-005535,FL-024068,Weather,93
DEL-005536,FL-024075,Air Traffic Control,32
DEL-005537,FL-024077,Weather,44
DEL-005538,FL-024083,Weather,36
DEL-005539,FL-024085,Maintenance,263
DEL-005540,FL-024090,Late Aircraft Arrival,22
DEL-005541,FL-024092,Weather,17
DEL-005542,FL-024093,Air Traffic Control,35
DEL-005543,FL-024094,Air Traffic Control,144
DEL-005544,FL-024103,Weather,38
DEL-005545,FL-024106,Weather,154
DEL-005546,FL-024107,Late Aircraft Arrival,32
DEL-005547,FL-024108,Maintenance,41
DEL-005548,FL-024113,Weather,83
DEL-005549,FL-024117,Late Aircraft Arrival,20
DEL-005550,FL-024118,Air Traffic Control,52
DEL-005551,FL-024121,Air Traffic Control,19
DEL-005552,FL-024122,Maintenance,58
DEL-005553,FL-024124,Air Traffic Control,146
DEL-005554,FL-024132,Weather,41
DEL-005555,FL-024137,Weather,74
DEL-005556,FL-024138,Late Aircraft Arrival,96
DEL-005557,FL-024143,Maintenance,91
DEL-005558,FL-024147,Air Traffic Control,47
DEL-005559,FL-024148,Late Aircraft Arrival,69
DEL-005560,FL-024149,Air Traffic Control,265
DEL-005561,FL-024151,Weather,20
DEL-005562,FL-024155,Air Traffic Control,68
DEL-005563,FL-024158,Air Traffic Control,30
DEL-005564,FL-024160,Weather,17
DEL-005565,FL-024161,Maintenance,94
DEL-005566,FL-024179,Weather,34
DEL-005567,FL-024185,Weather,59
DEL-005568,FL-024194,Weather,140
DEL-005569,FL-024195,Air Traffic Control,164
DEL-005570,FL-024196,Weather,45
DEL-005571,FL-024198,Late Aircraft Arrival,59
DEL-005572,FL-024199,Late Aircraft Arrival,39
DEL-005573,FL-024202,Air Traffic Control,53
DEL-005574,FL-024207,Weather,23
